title,content
title,content
"ARCHITEKT/IN, INGENIEUR/IN MIT MINDESTENS 3 - 4 JAHREN BERUFSERFAHRUNG GESUCHT","WW+ GmbH sucht ab sofort:

Architekt/in, Ingenieur/in mit mindestens 3 - 4 Jahren Berufserfahrung für die Leistungsphasen 5 - 8 (Ausführungsplanung bis  Bauüberwachung) zur Verstärkung unseres Teams in Trier

Voraussetzungen:
Eigenverantwortliches Arbeiten und Leiten eines Teams
Gute Organisations- und Teamfähigkeit
Gute Kenntnisse in der Ausführungs-und Detailplanung und der Baustellenüberwachung
Erstellen von Terminplänen
Erfahrung im Erstellen von Ausschreibungen (z.B. in Orca, Kenntnisse für das Erstellen           EU-weiter Ausschreibungen wären ein Plus)
Kenntnisse in CAD Zeichen / Revit wünschenswert
Kenntnisse in Terminmanagement (z.B. in Asta)
Sprachkenntnisse: Deutsch/Französisch und/oder Deutsch/Englisch
Gute bis sehr gute Kenntnisse in Excel und Word
Führerschein Klasse B 
Wir bieten:
Mitwirkung an einem „großen“  und interessanten Projekt in Saarbrücken
Vielfältige Entwicklungsmöglichkeit
Ein junges dynamisches Team
Ein angenehmes Betriebsklima
Eine leistungsfähige technische Umgebung
Bitte senden Sie Ihre aussagekräftige Bewerbung mit Curriculum Vitae, Foto sowie Kopien Ihrer Diplome/ Zeugnisse an:
WW+ GmbH
Südallee 41 B
D-54290 Trier                                              oder  PDF an trier@wwplus.eu"
SACHBEARBEITER/-INNEN IM STADTPLANUNGSAMT,"Eine Ausschreibung der Landeshauptstadt Saarbrücken beim Stadtplanungsamt (Stadtamt 61)

Die Landeshauptstadt Saarbrücken versteht sich als modernes Dienstleistungsunternehmen für die Bürgerinnen und Bürger. Als Universitäts-, Messe- und Kongressstadt mit 180.000 Einwohnerinnen und Einwohnern sind wir das saarländische Oberzentrum mit Sitz der Landesregierung und erfüllen Aufgaben für die gesamte Region. 

Wir suchen beim Stadtplanungsamt - zunächst befristet für zwei Jahre – mehrere Stadtplanerinnen/Stadtplaner oder Dipl.-Ingenieurinnen/Dipl.-Ingenieure (FH) der Fachrichtung Architektur Entgeltgruppe 11 TVöD

Aufgrund der Altersstruktur im Baudezernat sind perspektivisch freie Stellen zu erwarten. Daher wird eine unbefristete Übernahme bei entsprechender Bewährung angestrebt.

Aufgabengebiet
Bauleitplanung mit Aufstellung und Änderungen von Bebauungsplänen mit der verfahrensmäßigen Abwicklung bis zur Rechtsverbindlichkeit
Mitwirkung bei Verfahren zur Beteiligung der Öffentlichkeit
Betreuung der beauftragten Planungsbüros und Gutachter
Sie verfügen über
einen möglichst guten Abschluss eines Hochschul- oder Fachhochschulstudiums der Fachrichtung Stadtplanung bzw. Raum- und Umweltplanung oder Architektur mit dem Schwerpunkt Städtebau/Stadtplanung
planerisches Fachwissen (Planungs- und Baurecht) 
Kenntnisse im CAD-Bereich (AutoCAD Map und Fachschalen Caigos) und in Grafik-Programmen
Daneben erfordert die Tätigkeit
Teamfähigkeit
Eigeninitiative
die Fähigkeit zu selbständigem und eigenverantwortlichem Arbeiten
analytisches und ergebnisorientiertes Denken und Handeln
eine strukturierte Arbeitsweise
Sicherheit beim Formulieren von Texten und Kommunizieren mit Bürgerinnen und Bürgern
Von Vorteil wäre
mehrjährige Berufserfahrung im städtebaulichen Entwurf und in der Bauleitplanung sowie der Fähigkeit zur Abwicklung komplexer Verwaltungsverfahren (möglichst Verwaltungserfahrung und Vertrautheit im Umgang mit Verwaltungsstrukturen)
Wir bieten Ihnen
eine interessante und abwechslungsreiche Tätigkeit; vorerst befristet für zwei Jahre. Aufgrund der Altersstruktur im Baudezernat sind perspektivisch freie Stellen zu erwarten. Daher wird eine unbefristete Übernahme bei entsprechender Bewährung angestrebt.
ein tarifliches Entgelt nach Entgeltgruppe 11 TVöD.
die Mitarbeit in einer Verwaltung, die für ihre familienbewusste Personalpolitik ausgezeichnet wurde.
Arbeitsplatzsicherheit mit Kündigungsfristen, die weit über die gesetzlichen Mindestfristen hinausgehen.
eine zusätzliche Altersvorsorge.
flexible Arbeitszeiten.
umfangreiche Fortbildungsangebote im Rahmen unserer Personalentwicklung.
Erfahren Sie mehr über das Leben in Saarbrücken, die Stadt als Ausbildungsbetrieb und als kundenorientierte und familienbewusste Arbeitgeberin auf unserer Webseite unter www.saarbruecken.de/arbeitgeberin.
Gerne nehmen wir Bewerbungen von nicht deutschen Interessentinnen und Interessenten entgegen. Die Landeshauptstadt Saarbrücken verfolgt das Ziel, die Unterrepräsentanz von Frauen zu beseitigen. Bewerbungen von Frauen sind besonders erwünscht. Schwerbehinderte Bewerberinnen und Bewerbern werden im Rahmen der gesetzlichen Bestimmungen bevorzugt berücksichtigt.

Wir bitten Sie, sich bis zum 16.06.2018 ausschließlich über das Online-Bewerberportal www.interamt.de unter ID 454345 zu bewerben. Hierzu ist der Bewerbungsbogen vollständig auszufüllen. Folgende Nachweise sind als Dateianhänge in Interamt beizufügen: Lebenslauf, Zeugniskopien mit Noten, Referenzen, Zeitpunkt des frühestmöglichen Eintritts etc. Nicht vollständige Bewerbungen können leider nicht berücksichtigt werden.

Ansprechpartnerin ist Frau Heike Sauer (T: 0681/905-1659 oder per E-Mail: heike.sauer@saarbruecken.de).
Bei Rückfragen zur Tätigkeit steht Ihnen die Amtsleiterin des Stadtplanungsamtes, Frau Monika Kunz (T: 0681/905-4072 oder per E-Mail: monika.kunz@saarbruecken.de), gerne zur Verfügung.

Die Oberbürgermeisterin 
der Landeshauptstadt Saarbrücken 
Charlotte Britz "
ARCHITEKT / BAUINGENIEUR (M/W) GESUCHT,"Willkommen bei Wenzel + Wenzel. Wir sind Spezialisten für die Entstehung großartiger Architektur, für die perfekte Umsetzung von Entwürfen und für starken Teamgeist. Daran arbeiten über 250 Kolleginnen und Kollegen an 11 Standorten - jeden Tag, mit Leidenschaft und Begeisterung. Damit außergewöhnliche Bauprojekte in den Bereichen Kultur, Gesundheit, Verwaltung, Infrastruktur, Bildung, Sport und Gastronomie Realität werden.
Wir suchen Sie an unserem Standort Saarbrücken als
Architekt / Bauingenieur (m/w)
Ihre Aufgaben
Planung, Ausschreibung und Vergabe wie auch die Objektüberwachung (HOAI, LPH 5-8)
Ihr Profil
Studium der Architektur oder des Bauingenieurwesens
Mindestens 3 Jahre einschlägige Berufserfahrung
Eigenverantwortliche Arbeitsweise 
Hohes Maß an Eigenmotivation, Kommunikationsstärke und Teamgeist 
Gute Kenntnisse in AVA-Programmen (z.B. California), AutoCAD, MS Project, MS Office
Fundierte Deutschkenntnisse
Gehen Sie gemeinsam mit uns den Wenzel + Wenzel-Weg. Es erwarten Sie spannende Aufgaben und Entwicklungsperspektiven sowie gelebte Eigenverantwortung. Unterstützt werden Sie dabei von Kolleginnen und Kollegen, die genau so viel Wert auf Respekt, Vertrauen und Professionalität legen, wie Sie es tun. Besonders am Herzen liegt uns auch die Vereinbarkeit von Beruf und Privatleben. Individuelle und flexible Arbeitszeitmodelle sind bei uns deshalb selbstverständlich. Ebenso wie ein unbefristeter Arbeitsvertrag.
Wir freuen uns auf Ihre Bewerbung. Bitte per Mail an jobs@w-w.de, mit Angabe der Kennziffer SB/171216/62 sowie Ihrer Gehaltsvorstellung und dem möglichen Eintrittstermin.
Fragen beantwortet Ihnen Lisa Schindler gerne unter Tel. 0721-59840-24. 

Wenzel + Wenzel Freie Architekten Partnerschaft mbB 
www.w-w.de  "
BELGISCHER ARCHITEKT MIT 7 JAHREN BERUFSERFAHRUNG SUCHT DAUERHAFTEN ARBEITSPLATZ,"Mein Name ist Jonas De Wel. Ich bin Architekt aus Brüssel, Belgien, und suche aus privaten Gründen einen Arbeitsplatz in der Nähe von Saarbrücken. Seit 7  Jahren arbeite ich für unterschiedliche Architektenbüros und bin Mitglied der Belgischen Architektenkammer, wobei die Leistungsphasen in Deutschland denen in Belgien entsprechen. Ich suche eine auf Dauer angelegte Stelle in einem kreativen Team mit interessanten Projekten.

Ich habe sehr gute Kenntnisse in Autocad und MS Office sowie Photoshop und Indesign und Basiskenntnisse von Nemetschek AllPlan (2D). Meine Muttersprache ist Niederländisch, ich beherrsche die deutsche Sprache aber in Wort und Schrift. Daneben spreche ich fließend Englisch und Französisch. Ich freue mich, wenn ich Ihnen meinen vollständigen Lebenslauf und mein Portfolio zusenden darf. Ein erster Eindruck: https://www.xing.com/profile/Jonas_DeWel

Kontakt:
Jonas De Wel
Gärtnerstraße 25
66117 Saarbrücken
jonas.dewel@skynet.be
0176 345 510 55
 "
SYRER SUCHT PRAKTIKUMSPLATZ,"Name: Aldebiat
Vorname: Ahmad
Adresse: Niedstraße 7, 66809 Nalbach
Geb.: 11.01.1966 in Akrad (Syrien)
Beruflicher Weg:
02.2016 – 05.2016  Integrationskurs: Perspektiven für Flüchtlinge
03.2016 – 05.2016  Praktikum im Rahmen des Integrationskurses (6 Wochen)
                                 Gemeinde Nalbach als Mitarbeiter im Bauamt und Bauhof
11.2015 – 02.2016  Einstiegssprachkurs für Asylbewerberinnen und Asylbewerber
                                 Tertia Saarlouis
03.2015 – 11.2015  Deutschkurs: „Mama lernt Deutsch“ (Caritas Saarlouis)
06.2013 – 01.2015  Flucht aus Syrien nach Polen und Einreise nach Deutschland
07.2010 – 06.2013  Selbstständiger Ingenieur (Architekt) in Hama, Syrien
02.2008 – 05.2010  Architekt (Technical Employment Department)
06.2002 – 01.2007  Architekt (teilweise studienbegleitend) in Homs, Syrien
10.2000 – 06.2002  Selbstständiger Ingenieur (Architekt) in Hama, Syrien
Ausbildung:
10.2003 – 02.2007  Diplom in Planung und Umwelt 
                                Al-Baath Universität, Fakultät Architektur, Homs, Syrien
10.1988 – 07.1994  Master-Abschluss als Ingenieur in Architektur und Stadtplanung 
                                Bialystok Technische Universität, Fakultät für Architektur und Stadtplanung, Bialystok, Polen
Kenntnisse und Sonstiges:
Sprachen                Arabisch: Muttersprache
                                Polnisch: gute Kenntnisse
                                Deutsch: erste Grundkenntnisse
                                Englisch: erweiterte Kenntnisse
EDV-Kenntnisse     Grundkenntnisse in MS-Office
                                Sehr gute Kenntnisse in AutoCAD
                                              Kontakt:
Imane Sebaa 
Sozialpädagogin/Sozialarbeiterin (B.A.) 
Beschäftigungs- und Qualifizierungsprojekte Rehlingen-Siersburg 
Tel.: 06835/68439 
imane.sebaa@lvsaarland.awo.org 
www.awo-saarland.de 
 "
title,content
"ARCHITEKT/IN, INGENIEUR/IN MIT MINDESTENS 3 - 4 JAHREN BERUFSERFAHRUNG GESUCHT","WW+ GmbH sucht ab sofort:

Architekt/in, Ingenieur/in mit mindestens 3 - 4 Jahren Berufserfahrung für die Leistungsphasen 5 - 8 (Ausführungsplanung bis  Bauüberwachung) zur Verstärkung unseres Teams in Trier

Voraussetzungen:
Eigenverantwortliches Arbeiten und Leiten eines Teams
Gute Organisations- und Teamfähigkeit
Gute Kenntnisse in der Ausführungs-und Detailplanung und der Baustellenüberwachung
Erstellen von Terminplänen
Erfahrung im Erstellen von Ausschreibungen (z.B. in Orca, Kenntnisse für das Erstellen           EU-weiter Ausschreibungen wären ein Plus)
Kenntnisse in CAD Zeichen / Revit wünschenswert
Kenntnisse in Terminmanagement (z.B. in Asta)
Sprachkenntnisse: Deutsch/Französisch und/oder Deutsch/Englisch
Gute bis sehr gute Kenntnisse in Excel und Word
Führerschein Klasse B 
Wir bieten:
Mitwirkung an einem „großen“  und interessanten Projekt in Saarbrücken
Vielfältige Entwicklungsmöglichkeit
Ein junges dynamisches Team
Ein angenehmes Betriebsklima
Eine leistungsfähige technische Umgebung
Bitte senden Sie Ihre aussagekräftige Bewerbung mit Curriculum Vitae, Foto sowie Kopien Ihrer Diplome/ Zeugnisse an:
WW+ GmbH
Südallee 41 B
D-54290 Trier                                              oder  PDF an trier@wwplus.eu"
SACHBEARBEITER/-INNEN IM STADTPLANUNGSAMT,"Eine Ausschreibung der Landeshauptstadt Saarbrücken beim Stadtplanungsamt (Stadtamt 61)

Die Landeshauptstadt Saarbrücken versteht sich als modernes Dienstleistungsunternehmen für die Bürgerinnen und Bürger. Als Universitäts-, Messe- und Kongressstadt mit 180.000 Einwohnerinnen und Einwohnern sind wir das saarländische Oberzentrum mit Sitz der Landesregierung und erfüllen Aufgaben für die gesamte Region. 

Wir suchen beim Stadtplanungsamt - zunächst befristet für zwei Jahre – mehrere Stadtplanerinnen/Stadtplaner oder Dipl.-Ingenieurinnen/Dipl.-Ingenieure (FH) der Fachrichtung Architektur Entgeltgruppe 11 TVöD

Aufgrund der Altersstruktur im Baudezernat sind perspektivisch freie Stellen zu erwarten. Daher wird eine unbefristete Übernahme bei entsprechender Bewährung angestrebt.

Aufgabengebiet
Bauleitplanung mit Aufstellung und Änderungen von Bebauungsplänen mit der verfahrensmäßigen Abwicklung bis zur Rechtsverbindlichkeit
Mitwirkung bei Verfahren zur Beteiligung der Öffentlichkeit
Betreuung der beauftragten Planungsbüros und Gutachter
Sie verfügen über
einen möglichst guten Abschluss eines Hochschul- oder Fachhochschulstudiums der Fachrichtung Stadtplanung bzw. Raum- und Umweltplanung oder Architektur mit dem Schwerpunkt Städtebau/Stadtplanung
planerisches Fachwissen (Planungs- und Baurecht) 
Kenntnisse im CAD-Bereich (AutoCAD Map und Fachschalen Caigos) und in Grafik-Programmen
Daneben erfordert die Tätigkeit
Teamfähigkeit
Eigeninitiative
die Fähigkeit zu selbständigem und eigenverantwortlichem Arbeiten
analytisches und ergebnisorientiertes Denken und Handeln
eine strukturierte Arbeitsweise
Sicherheit beim Formulieren von Texten und Kommunizieren mit Bürgerinnen und Bürgern
Von Vorteil wäre
mehrjährige Berufserfahrung im städtebaulichen Entwurf und in der Bauleitplanung sowie der Fähigkeit zur Abwicklung komplexer Verwaltungsverfahren (möglichst Verwaltungserfahrung und Vertrautheit im Umgang mit Verwaltungsstrukturen)
Wir bieten Ihnen
eine interessante und abwechslungsreiche Tätigkeit; vorerst befristet für zwei Jahre. Aufgrund der Altersstruktur im Baudezernat sind perspektivisch freie Stellen zu erwarten. Daher wird eine unbefristete Übernahme bei entsprechender Bewährung angestrebt.
ein tarifliches Entgelt nach Entgeltgruppe 11 TVöD.
die Mitarbeit in einer Verwaltung, die für ihre familienbewusste Personalpolitik ausgezeichnet wurde.
Arbeitsplatzsicherheit mit Kündigungsfristen, die weit über die gesetzlichen Mindestfristen hinausgehen.
eine zusätzliche Altersvorsorge.
flexible Arbeitszeiten.
umfangreiche Fortbildungsangebote im Rahmen unserer Personalentwicklung.
Erfahren Sie mehr über das Leben in Saarbrücken, die Stadt als Ausbildungsbetrieb und als kundenorientierte und familienbewusste Arbeitgeberin auf unserer Webseite unter www.saarbruecken.de/arbeitgeberin.
Gerne nehmen wir Bewerbungen von nicht deutschen Interessentinnen und Interessenten entgegen. Die Landeshauptstadt Saarbrücken verfolgt das Ziel, die Unterrepräsentanz von Frauen zu beseitigen. Bewerbungen von Frauen sind besonders erwünscht. Schwerbehinderte Bewerberinnen und Bewerbern werden im Rahmen der gesetzlichen Bestimmungen bevorzugt berücksichtigt.

Wir bitten Sie, sich bis zum 16.06.2018 ausschließlich über das Online-Bewerberportal www.interamt.de unter ID 454345 zu bewerben. Hierzu ist der Bewerbungsbogen vollständig auszufüllen. Folgende Nachweise sind als Dateianhänge in Interamt beizufügen: Lebenslauf, Zeugniskopien mit Noten, Referenzen, Zeitpunkt des frühestmöglichen Eintritts etc. Nicht vollständige Bewerbungen können leider nicht berücksichtigt werden.

Ansprechpartnerin ist Frau Heike Sauer (T: 0681/905-1659 oder per E-Mail: heike.sauer@saarbruecken.de).
Bei Rückfragen zur Tätigkeit steht Ihnen die Amtsleiterin des Stadtplanungsamtes, Frau Monika Kunz (T: 0681/905-4072 oder per E-Mail: monika.kunz@saarbruecken.de), gerne zur Verfügung.

Die Oberbürgermeisterin 
der Landeshauptstadt Saarbrücken 
Charlotte Britz "
